pkIngredientID,fldIngredientName,fkIngredientCategoryID,fkDurabilityID,fkNutritionID,in_food_csv,in_food_portion_csv
304,Pecorino Romano,23,0,493681,1,0
307,Pecorino Toscano,23,0,2,0,0
308,Parmigiano Reggiano,23,0,516825,1,0
309,Brie,23,0,557689,1,0
311,provolone,23,0,170850,1,1
312,fresh mozzarella,23,0,569834,1,0
313,Manchego,23,0,536022,1,0
314,goat cheese,23,0,446246,1,0
315,ricotta,23,0,360126,1,0
316,ricotta salata,23,0,374140,1,0
317,Taleggio,23,0,442223,1,0
318,cream cheese,23,0,1116504,1,0
319,Camembert,23,0,172178,1,1
320,Oaxaca cheese,23,0,471589,1,0
323,Cotija,23,0,1111795,1,0
324,halloumi,23,0,384154,1,0
325,cheddar,23,0,393796,1,0
327,paneer,23,0,392808,1,0
328,Queso Fresco,23,0,1106146,1,0
329,Asiago,23,0,514061,1,0
330,buffalo mozzarella,23,0,2533193,1,0
331,Roquefort,23,0,741406,1,0
332,cumin seeds,24,0,170923,1,1
333,lemon juice,18,0,167747,1,1
334,parsley,16,0,170416,1,1
335,salt,24,0,1108880,1,0
337,whole cinnamon,24,0,1,0,0
338,phyllo dough,21,0,172791,1,1
339,unsalted butter,2,0,535510,1,0
340,prosciutto,25,0,1112389,1,0
341,pancetta,25,0,522789,1,0
342,rack of lamb,25,0,1,0,0
343,guanciale,25,0,2671410,1,0
344,chicken thighs,25,0,356593,1,0
345,chicken breasts,25,0,463636,1,0
346,whole chicken,25,0,542538,1,0
347,pork tenderloin,25,0,561340,1,0
348,leg of lamb,25,0,1,0,0
349,lamb shoulder,25,0,1,0,0
350,chicken broth,21,0,517092,1,0
351,mung bean sprouts,17,0,2345288,1,1
352,Thai tamarind,21,0,167786,1,1
353,palm sugar,21,0,2553901,1,0
354,dried shrimp,21,0,391899,1,0
361,tofu,21,0,391898,1,0
362,rice noodles,12,0,359411,1,0
363,fish sauce,21,0,420317,1,0
364,oyster sauce,21,0,543374,1,0
365,water,21,0,1128656,1,0
366,preserved daikon,21,0,542414,1,0
368,Roma tomatoes,17,0,1,0,0
369,plum tomatoes,17,0,1,0,0
370,slivered almonds,13,0,2553180,1,0
371,piment d'Emplette,24,0,2,0,0
372,white onion,17,0,1,0,0
373,yellow onion,17,0,170008,1,1
375,paprika,24,0,1108517,1,0
376,smoked paprika,24,0,383616,1,0
378,brioche bread,12,0,775950,1,0
379,sourdough bread,12,0,486869,1,0
380,country bread,12,0,402437,1,0
381,Marcona almonds,13,0,1121437,1,0
382,dried Turkish figs,3,0,2578631,1,0
383,ground cinnamon,24,0,381096,1,0
384,whole grain mustard,20,0,598298,1,0
385,cranberies,18,0,171722,1,1
386,coriander seeds,24,0,384286,1,0
387,fennel seeds,24,0,380629,1,0
388,ground lamb,25,0,475082,1,0
389,kosher salt,24,0,1106612,1,0
390,coarse sea salt,24,0,1108884,1,0
391,cayenne pepper,24,0,1111550,1,0
392,piquillo pepper,21,0,389016,1,0
393,active dry yeast,1,6,2564549,1,0
394,confectioners sugar,1,0,463513,1,0
397,white wine vinegar,15,0,539438,1,0
398,Calabrian pepper flakes,24,0,2,0,0
399,dried bay leaf,16,0,530231,1,0
400,juniper berries,24,0,2,0,0
401,cloves,24,0,585431,1,0
402,pearl onions,17,0,1,0,0
403,black peppercorns,24,0,562272,1,0
404,argan oil,14,0,438245,1,0
405,milk,2,0,1112479,1,0
406,marjoram,16,0,2654751,1,0
407,dried marjoram,24,0,170928,1,1
408,walnut milk,21,0,569496,1,0
411,low-sodium chicken broth,21,0,797013,1,0
412,golden beets,17,0,169145,1,1
416,poppy seeds,24,0,384424,1,0
417,mirin,21,0,386711,1,0
418,white miso,21,0,515749,1,0
419,red miso,21,0,1135552,1,0
420,sesame seeds,13,0,380039,1,0
421,Arborio rice,12,0,360284,1,0
422,mascarpone,23,0,506462,1,0
423,espresso,21,0,412946,1,0
424,bitter cocoa,1,0,414564,1,0
427,butternut squash,17,0,1,0,0
428,pumpkin seeds,13,0,503650,1,0
429,orange zest,18,0,169103,1,1
430,lemon zest,18,0,167749,1,1
431,Fresno chile,17,0,1664542,0,0
432,black truffle,17,0,2,0,0
433,white truffle,17,0,2,0,0
434,burrata,23,0,470862,1,0
439,apricot,18,0,2344717,1,1
440,endive,17,0,168412,1,1
441,pomegranate,18,0,169134,1,1
442,nectarine,18,0,169914,1,1
443,plums,18,0,169949,1,1
444,prunes,3,0,1139210,1,0
447,radicchio,17,0,168564,1,1
448,sunchokes,17,0,1664796,0,0
449,savoy cabbage,17,0,170388,1,1
450,dried chervil,24,0,171318,1,1
457,oil cured olives,21,0,369062,1,0
458,savory,16,0,384473,1,0
459,lobster,26,0,1136542,1,0
460,branzino,26,0,509824,1,0
461,squid,26,0,541982,1,0
462,scallops,26,0,1118451,1,0
463,grouper,26,0,171962,1,1
464,mussels,26,0,454174,1,0
467,prawns,26,0,600455,1,0
468,octopus,26,0,475623,1,0
471,clams,26,0,509790,1,0
472,red mullet,26,0,175123,1,1
476,Bitto,23,0,2,0,0
477,Cacio,23,0,2,0,0
479,rennet,23,0,2,0,0
481,Fontina,23,0,381165,1,0
482,mozzarella,23,0,378833,1,0
487,Provola,23,0,2,0,0
488,heavy cream,2,0,1134772,1,0
493,Scamorza,23,0,440953,1,0
496,duck breast,25,0,361381,1,0
498,coppa,25,0,1062343,1,0
502,pheasant,25,0,169903,1,1
503,ground pork,25,0,535027,1,0
504,ground beef,25,0,486480,1,0
505,mortadella,25,0,1121154,1,0
508,nduja,25,0,592118,1,0
509,soppressata,25,0,510365,1,0
510,speck,25,0,2275624,1,0
511,ground veal,25,0,864410,1,0
512,veal,25,0,1,0,0
513,enoki mushrooms,17,0,169382,1,1
514,burdock,17,0,169974,1,1
515,kabocha squash,17,0,2475402,0,0
516,mizuna,17,0,454806,1,0
517,satsuma orange,18,0,169918,1,1
518,taro,17,0,169308,1,1
519,ube,17,0,2,0,0
520,wasabi root,17,0,168583,1,1
522,shishito pepper,17,0,577425,1,0
523,ikura,26,0,2,0,0
527,ao nori,21,0,2,0,0
529,bonito flakes,21,0,387923,1,0
530,furikake,21,0,561024,1,0
533,shichimi togarashi,24,0,940072,1,0
534,MSG (ajinomoto),24,0,959267,0,0
535,ponzu,20,0,497406,1,0
536,sansho pepper,24,0,571905,1,0
537,shoyu,20,0,386277,1,0
538,takuan,20,0,495400,1,0
539,tamari,20,0,1114624,1,0
540,wakame,21,0,387935,1,0
541,yuzu juice,18,0,1454741,0,0
542,yuzu kosho,21,0,393030,1,0
543,dried shiitake mushrooms,21,0,590722,1,0
545,panko,21,0,601231,1,0
546,Japanese eggplant,17,0,577450,1,0
547,Persian cucumber,17,0,578001,1,0
548,saffron,24,0,384416,1,0
549,dried fenugreek leaves,24,0,2,0,0
550,turmeric powder,24,0,565003,1,0
551,dried rose petals,24,0,2,0,0
552,dried mint,24,0,1,0,0
553,nigella,24,0,593920,1,0
560,dried barberries,3,0,2,0,0
561,dried Perisan limes,3,0,449911,1,0
562,pomegranate molasses,21,0,2526725,1,0
563,pomegranate juice,21,0,412727,1,0
564,frozen fava beans,8,0,2669226,1,0
565,pita bread,21,0,367902,1,0
569,curry leaves,16,0,2,0,0
570,serrano chile,17,0,169395,1,1
575,coconut,18,0,170169,1,1
576,kashmiri chili powder,24,0,1095351,1,0
577,mango powder,24,0,592856,1,0
578,dried curry leaves,24,0,2,0,0
579,asafetida,24,0,2,0,0
580,kala namak,24,0,1144851,1,0
581,black cardamom,24,0,579066,1,0
582,ajwain,24,0,1126916,1,0
584,green cardamom,24,0,384273,1,0
585,ceylon cinnamon,24,0,381096,1,0
587,coriander,24,0,384286,1,0
589,yellow mustard seeds,24,0,547052,1,0
590,brown mustard seeds,24,0,474909,1,0
591,nutmeg,24,0,1370346,1,0
592,mace,24,0,170927,1,1
593,star anise,24,0,384277,1,0
598,urad dal,6,0,472145,1,0
599,channa dal,12,0,1143750,1,0
600,poha,12,0,472148,1,0
601,moong dal,6,0,472146,1,0
604,ghee,2,0,393834,1,0
605,nylon sev,21,0,2,0,0
606,raw unsalted cashews,13,0,1680966,1,0
607,garlic-ginger paste,21,0,451953,1,0
610,acorn squash,17,0,168472,1,1
611,allspice,24,0,1163323,1,0
612,almond butter,21,0,364999,1,0
613,Andouille sausage,25,0,1129790,1,0
614,artichokes,17,0,169205,1,1
615,canned artichoke hearts,7,0,1112353,1,0
616,bacon,25,0,358243,1,0
617,barley,12,0,474917,1,0
618,red beets,17,0,169145,1,1
619,bok choy,17,0,2685572,1,0
620,broccoli,17,0,170379,1,1
621,purple cabbage,17,0,169977,1,1
622,caraway seeds,24,0,2365511,1,0
623,frozen cauliflower,8,0,602058,1,0
624,cherries,18,0,171719,1,1
625,chocolate chips,1,0,384082,1,0
626,chorizo (Mexican),25,0,2527471,1,0
627,coconut milk,21,0,496494,1,0
628,cream of tartar,24,0,509608,1,0
629,medjool dates,18,0,168191,1,1
630,baguette,12,0,374217,1,0
631,garam masala,24,0,393707,1,0
632,garlic powder,24,0,1127694,1,0
633,gnocchi,12,0,401182,1,0
634,red grapes,18,0,174683,1,1
635,hominy,12,0,1118577,1,0
636,sweet corn,17,0,169998,1,1
637,jalapeño,17,0,168576,1,1
638,lacinato kale,17,0,1498249,0,0
639,kimchi,21,0,516912,1,0
640,lemongrass,16,0,168573,1,1
641,matzo meal,12,0,475300,1,0
643,crimini mushrooms,17,0,168434,1,1
644,shiitake mushrooms,17,0,169242,1,1
645,maitake mushrooms,17,0,169403,1,1
646,portabella mushrooms,17,0,169255,1,1
647,nori,21,0,1155687,1,0
648,peach,18,0,169928,1,1
649,pesto,21,0,374406,1,0
650,pinto beans,6,0,1106758,1,0
651,plantain,17,0,168215,1,1
652,poblano pepper,17,0,1,0,0
653,pork shoulder,25,0,1170873,0,0
654,russet potato,17,0,1,0,0
655,Manzanilla olives,7,0,531973,1,0
656,tilapia,26,0,1832518,1,0
657,turnips,17,0,170465,1,1
658,watermelon,18,0,167765,1,1
660,"black beans, canned",6,3,1,0,0
661,jar Calabrian peppers,7,3,388746,1,0
662,dried dill,24,3,1,0,0
663,celery seed,24,3,554478,1,0
664,dried lemon peel,24,3,391736,1,0
665,nutritional yeast,21,2,589411,1,0
667,dry pinto beans,6,3,446737,1,0
668,dry red kidney beans,6,3,1107222,1,0
669,vanilla beans,24,2,383686,1,0
670,fine sea salt,24,3,1107757,1,0
671,Indian tamarind concentrate,3,2,506054,1,0
672,canned sliced beets,7,3,590646,1,0
673,parsnips,17,2,170417,1,1
674,delicata squash,17,2,2401382,0,0
675,watercress,17,1,170068,1,1
676,dandelion greens,17,1,169226,1,1
